statuscode,readable,leds_primary,leds_secondary
HDHBF_northwest,HDHBF_northwest,27-12,28-11
HDHBF_southeast,HDHBF_southeast,28-11,27-12
west_1_outbound,west_1_outbound,26-13,27-12
west_1_inbound,west_1_inbound,27-12,26-13
west_2_outbound,west_2_outbound,25-14,26-13
west_2_inbound,west_2_inbound,26-13,25-14
west_3_outbound,west_3_outbound,24-15,25-14
west_3_inbound,west_3_inbound,25-14,24-15
west_4_outbound,west_4_outbound,24-16,24-15
west_4_inbound,west_4_inbound,24-15,24-16
west_5_outbound,west_5_outbound,24-17,24-16
west_5_inbound,west_5_inbound,24-16,24-17
west_6_outbound,west_6_outbound,24-18,24-17
west_6_inbound,west_6_inbound,24-17,24-18
west_7_outbound,west_7_outbound,24-19,24-18
west_7_inbound,west_7_inbound,24-18,24-19
west_8_outbound,west_8_outbound,24-20,24-19
west_8_inbound,west_8_inbound,24-19,24-20
west_9_outbound,west_9_outbound,24-21,24-20
west_9_inbound,west_9_inbound,24-20,24-21
west_10_outbound,west_10_outbound,24-22,24-21
west_10_inbound,west_10_inbound,24-21,24-22
west_11_outbound,west_11_outbound,23-23,24-22
west_11_inbound,west_11_inbound,24-22,23-23
west_12_outbound,west_12_outbound,22-24,23-23
west_12_inbound,west_12_inbound,23-23,22-24
west_13_outbound,west_13_outbound,21-25,22-24
west_13_inbound,west_13_inbound,22-24,21-25
west_14_outbound,west_14_outbound,20-26,21-25
west_14_inbound,west_14_inbound,21-25,20-26
west_15_outbound,west_15_outbound,19-27,20-26
west_15_inbound,west_15_inbound,20-26,19-27
west_16_outbound,west_16_outbound,18-28,19-27
west_16_inbound,west_16_inbound,19-27,18-28
west_17_outbound,west_17_outbound,17-29,18-28
west_17_inbound,west_17_inbound,18-28,17-29
west_18_outbound,west_18_outbound,16-30,17-29
west_18_inbound,west_18_inbound,17-29,16-30
west_19_outbound,west_19_outbound,15-31,16-30
west_19_inbound,west_19_inbound,16-30,15-31
west_20_outbound,west_20_outbound,,15-31
west_20_inbound,west_20_inbound,15-31,
north_1_outbound,north_1_outbound,26-13,27-12
north_1_inbound,north_1_inbound,27-12,26-13
north_2_outbound,north_2_outbound,25-14,26-13
north_2_inbound,north_2_inbound,26-13,25-14
north_3_outbound,north_3_outbound,24-15,25-14
north_3_inbound,north_3_inbound,25-14,24-15
north_4_outbound,north_4_outbound,24-16,24-15
north_4_inbound,north_4_inbound,24-15,24-16
north_5_outbound,north_5_outbound,24-17,24-16
north_5_inbound,north_5_inbound,24-16,24-17
north_6_outbound,north_6_outbound,24-18,24-17
north_6_inbound,north_6_inbound,24-17,24-18
north_7_outbound,north_7_outbound,24-19,24-18
north_7_inbound,north_7_inbound,24-18,24-19
north_8_outbound,north_8_outbound,24-20,24-19
north_8_inbound,north_8_inbound,24-19,24-20
north_9_outbound,north_9_outbound,24-21,24-20
north_9_inbound,north_9_inbound,24-20,24-21
north_10_outbound,north_10_outbound,24-22,24-21
north_10_inbound,north_10_inbound,24-21,24-22
north_11_outbound,north_11_outbound,23-23,24-22
north_11_inbound,north_11_inbound,24-22,23-23
north_12_outbound,north_12_outbound,22-24,23-23
north_12_inbound,north_12_inbound,23-23,22-24
north_13_outbound,north_13_outbound,21-25,22-24
north_13_inbound,north_13_inbound,22-24,21-25
north_14_outbound,north_14_outbound,20-26,21-25
north_14_inbound,north_14_inbound,21-25,20-26
north_15_outbound,north_15_outbound,19-27,20-26
north_15_inbound,north_15_inbound,20-26,19-27
north_16_outbound,north_16_outbound,18-28,19-27
north_16_inbound,north_16_inbound,19-27,18-28
north_17_outbound,north_17_outbound,17-29,18-28
north_17_inbound,north_17_inbound,18-28,17-29
north_18_outbound,north_18_outbound,16-30,17-29
north_18_inbound,north_18_inbound,17-29,16-30
north_19_outbound,north_19_outbound,15-29,16-30
north_19_inbound,north_19_inbound,16-30,15-29
north_20_outbound,north_20_outbound,14-28,15-29
north_20_inbound,north_20_inbound,15-29,14-28
north_21_outbound,north_21_outbound,13-27,14-28
north_21_inbound,north_21_inbound,14-28,13-27
north_22_outbound,north_22_outbound,12-26,13-27
north_22_inbound,north_22_inbound,13-27,12-26
north_23_outbound,north_23_outbound,11-25,12-26
north_23_inbound,north_23_inbound,12-26,11-25
north_24_outbound,north_24_outbound,10-24,11-25
north_24_inbound,north_24_inbound,11-25,10-24
north_25_outbound,north_25_outbound,9-23,10-24
north_25_inbound,north_25_inbound,10-24,9-23
north_26_outbound,north_26_outbound,8-22,9-23
north_26_inbound,north_26_inbound,9-23,8-22
north_27_outbound,north_27_outbound,7-21,8-22
north_27_inbound,north_27_inbound,8-22,7-21
north_28_outbound,north_28_outbound,6-20,7-21
north_28_inbound,north_28_inbound,7-21,6-20
north_29_outbound,north_29_outbound,5-19,6-20
north_29_inbound,north_29_inbound,6-20,5-19
north_30_outbound,north_30_outbound,4-18,5-19
north_30_inbound,north_30_inbound,5-19,4-18
north_31_outbound,north_31_outbound,3-17,4-18
north_31_inbound,north_31_inbound,4-18,3-17
north_32_outbound,north_32_outbound,2-16,3-17
north_32_inbound,north_32_inbound,3-17,2-16
north_33_outbound,north_33_outbound,1-15,2-16
north_33_inbound,north_33_inbound,2-16,1-15
north_34_outbound,north_34_outbound,0-14,1-15
north_34_inbound,north_34_inbound,1-15,0-14
north_35_outbound,north_35_outbound,,0-14
north_35_inbound,north_35_inbound,0-14,
