statuscode,readable,leds_primary,leds_secondary
HDHBF_northwest,HDHBF_northwest,,
HDHBF_southeast,HDHBF_southeast,,
west_1_outbound,west_1_outbound,,
west_1_inbound,west_1_inbound,,
west_2_outbound,west_2_outbound,,
west_2_inbound,west_2_inbound,,
west_3_outbound,west_3_outbound,,
west_3_inbound,west_3_inbound,,
west_4_outbound,west_4_outbound,,
west_4_inbound,west_4_inbound,,
west_5_outbound,west_5_outbound,,
west_5_inbound,west_5_inbound,,
west_6_outbound,west_6_outbound,,
west_6_inbound,west_6_inbound,,
west_7_outbound,west_7_outbound,,
west_7_inbound,west_7_inbound,,
west_8_outbound,west_8_outbound,,
west_8_inbound,west_8_inbound,,
west_9_outbound,west_9_outbound,,
west_9_inbound,west_9_inbound,,
west_10_outbound,west_10_outbound,,
west_10_inbound,west_10_inbound,,
west_11_outbound,west_11_outbound,,
west_11_inbound,west_11_inbound,,
west_12_outbound,west_12_outbound,,
west_12_inbound,west_12_inbound,,
west_13_outbound,west_13_outbound,,
west_13_inbound,west_13_inbound,,
west_14_outbound,west_14_outbound,,
west_14_inbound,west_14_inbound,,
west_15_outbound,west_15_outbound,,
west_15_inbound,west_15_inbound,,
west_16_outbound,west_16_outbound,,
west_16_inbound,west_16_inbound,,
west_17_outbound,west_17_outbound,,
west_17_inbound,west_17_inbound,,
west_18_outbound,west_18_outbound,,
west_18_inbound,west_18_inbound,,
west_19_outbound,west_19_outbound,,
west_19_inbound,west_19_inbound,,
west_20_outbound,west_20_outbound,,
west_20_inbound,west_20_inbound,,
west_21_outbound,west_21_outbound,,
west_21_inbound,west_21_inbound,,
west_22_outbound,west_22_outbound,,
west_22_inbound,west_22_inbound,,
west_23_outbound,west_23_outbound,,
west_23_inbound,west_23_inbound,,
west_24_outbound,west_24_outbound,,
west_24_inbound,west_24_inbound,,
west_25_outbound,west_25_outbound,,
west_25_inbound,west_25_inbound,,
north_1_outbound,north_1_outbound,,
north_1_inbound,north_1_inbound,,
north_2_outbound,north_2_outbound,,
north_2_inbound,north_2_inbound,,
north_3_outbound,north_3_outbound,,
