statuscode,readable,primary_leds
8002553>8002548_0,hamburg-altona>hamburg-dammtor_0,
8002548>8002549_0,hamburg-dammtor>hamburg-hbf_0,
8002549>8000147_0,hamburg-hbf>hamburg-harburg_0,
8000147>8000238_0,hamburg-harburg>lüneburg_0,
8000147>8000238_1,hamburg-harburg>lüneburg_1,
8000147>8000238_2,hamburg-harburg>lüneburg_2,
8000147>8000238_3,hamburg-harburg>lüneburg_3,
8000238>8000168_0,lüneburg>uelzen_0,
8000238>8000168_1,lüneburg>uelzen_1,
8000238>8000168_2,lüneburg>uelzen_2,
8000168>8000064_0,uelzen>celle_0,
8000168>8000064_1,uelzen>celle_1,
8000168>8000064_2,uelzen>celle_2,
8000168>8000064_3,uelzen>celle_3,
8000064>8000152_0,celle>hannover-hbf_0,
8000064>8000152_1,celle>hannover-hbf_1,
8000064>8000152_2,celle>hannover-hbf_2,
