statuscode,readable,leds_primary,leds_secondary
1219_1207,Kirchheim Rathaus -> Kirchheim Friedhof,44-15,43-14
1207_1219,Kirchheim Friedhof -> Kirchheim Rathaus,42-13,43-14
1216_1219,Odenwaldstraße -> Kirchheim Rathaus,42-13,41-12
1219_1216,Kirchheim Rathaus -> Odenwaldstraße,40-11,41-12
1200_1216,Albert-Fritz-Straße -> Odenwaldstraße,40-11,39-11
1216_1200,Odenwaldstraße -> Albert-Fritz-Straße,38-11,39-11
1218_1200,Ilse-Krall-Straße -> Albert-Fritz-Straße,38-11,37-11
1200_1218,Albert-Fritz-Straße -> Ilse-Krall-Straße,36-11,37-11
6795_1218,Messplatz -> Ilse-Krall-Straße,36-11,35-11
1218_6795,Ilse-Krall-Straße -> Messplatz,34-11,35-11
1149_6795,Rudolf-Diesel-Straße -> Messplatz,34-11,33-11
6795_1149,Messplatz -> Rudolf-Diesel-Straße,32-11,33-11
4272_1149,HD Hauptbahnhof Süd -> Rudolf-Diesel-Straße,32-11,31-11
1149_4272,Rudolf-Diesel-Straße -> HD Hauptbahnhof Süd,29-13,30-12
4274_4272,Gadamerplatz -> HD Hauptbahnhof Süd,29-13,28-14
4272_4274,HD Hauptbahnhof Süd -> Gadamerplatz,27-15,28-14
4274_4274,Gadamerplatz -> Gadamerplatz,27-15,27-15
4274_4274,Gadamerplatz -> Gadamerplatz,27-15,27-15
1151_4274,Czernybrücke -> Gadamerplatz,27-15,26-14
4274_1151,Gadamerplatz -> Czernybrücke,23-11,24-12
1144_1151,Betriebshof -> Czernybrücke,23-11,23-10
1151_1144,Czernybrücke -> Betriebshof,23-9,23-10
1199_1144,Volkshochschule -> Betriebshof,23-9,23-8
1144_1199,Betriebshof -> Volkshochschule,23-7,23-8
1189_1199,Campus Bergheim -> Volkshochschule,23-7,23-6
1199_1189,Volkshochschule -> Campus Bergheim,23-5,23-6
1196_1189,Altes Hallenbad -> Campus Bergheim,23-5,23-4
1189_1196,Campus Bergheim -> Altes Hallenbad,23-3,23-4
1146_1196,Bismarckplatz -> Altes Hallenbad,23-3,23-2
1196_1146,Altes Hallenbad -> Bismarckplatz,23-1,23-2
1260_1146,Brückenstraße -> Bismarckplatz,23-1,22-1
1146_1260,Bismarckplatz -> Brückenstraße,21-1,22-1
1233_1260,Kußmaulstraße -> Brückenstraße,21-1,20-1
1260_1233,Brückenstraße -> Kußmaulstraße,19-1,20-1
1225_1233,Blumenthalstraße -> Kußmaulstraße,19-1,18-1
1233_1225,Kußmaulstraße -> Blumenthalstraße,17-1,18-1
1135_1225,Kapellenweg -> Blumenthalstraße,17-1,16-2
1225_1135,Blumenthalstraße -> Kapellenweg,15-3,16-2
1333_1135,Heiligenbergschule -> Kapellenweg,15-3,14-4
1135_1333,Kapellenweg -> Heiligenbergschule,15-7,14-6
1333_1136,Heiligenbergschule -> Hans-Thoma-Platz,13-5,14-6
1136_1333,Hans-Thoma-Platz -> Heiligenbergschule,15-7,14-6
