led,color
27-0,444444
17-1,060606
18-1,060606
19-1,060606
20-1,060606
21-1,060606
22-1,060606
23-1,060606
24-1,060606
25-1,060606
28-1,444444
16-2,060606
23-2,060606
25-2,060606
29-2,444444
60-2,060606
61-2,060606
15-3,060606
23-3,060606
25-3,060606
30-3,444444
31-3,060606
32-3,060606
33-3,060606
34-3,060606
35-3,060606
36-3,060606
37-3,060606
38-3,060606
39-3,060606
40-3,060606
41-3,060606
59-3,060606
14-4,060606
23-4,060606
25-4,060606
30-4,060606
31-4,444444
42-4,060606
58-4,060606
7-5,060606
8-5,060606
9-5,060606
10-5,060606
11-5,060606
12-5,060606
13-5,060606
14-5,060606
23-5,060606
25-5,060606
26-5,060606
27-5,060606
28-5,060606
29-5,060606
32-5,444444
43-5,060606
44-5,060606
45-5,060606
46-5,060606
47-5,060606
48-5,060606
49-5,060606
50-5,060606
51-5,060606
52-5,060606
53-5,060606
54-5,060606
55-5,060606
56-5,060606
57-5,060606
6-6,060606
14-6,060606
23-6,060606
25-6,060606
26-6,060606
32-6,444444
0-7,060606
1-7,060606
2-7,060606
3-7,060606
4-7,060606
5-7,060606
15-7,060606
23-7,060606
25-7,060606
27-7,060606
32-7,444444
33-7,444444
34-7,444444
16-8,060606
23-8,060606
25-8,060606
28-8,060606
31-8,444444
35-8,444444
17-9,060606
18-9,060606
19-9,060606
20-9,060606
21-9,060606
22-9,060606
23-9,060606
24-9,060606
25-9,060606
29-9,060606
30-9,444444
36-9,444444
37-9,444444
38-9,444444
39-9,444444
40-9,444444
41-9,444444
42-9,444444
43-9,444444
44-9,444444
45-9,444444
46-9,444444
47-9,444444
48-9,444444
49-9,444444
50-9,444444
51-9,444444
52-9,444444
53-9,444444
54-9,444444
55-9,444444
56-9,444444
57-9,444444
58-9,444444
59-9,444444
60-9,444444
61-9,444444
62-9,444444
63-9,444444
23-10,060606
25-10,060606
29-10,444444
30-10,060606
23-11,060606
25-11,060606
28-11,444444
31-11,060606
32-11,060606
33-11,060606
34-11,060606
35-11,060606
36-11,060606
37-11,060606
38-11,060606
39-11,060606
40-11,060606
24-12,060606
27-12,444444
30-12,060606
41-12,060606
23-13,060606
25-13,060606
26-13,444444
29-13,060606
42-13,060606
0-14,444444
22-14,060606
25-14,444444
26-14,060606
28-14,060606
43-14,060606
1-15,444444
22-15,060606
24-15,444444
27-15,060606
44-15,060606
2-16,444444
22-16,060606
24-16,444444
26-16,060606
3-17,444444
22-17,060606
24-17,444444
26-17,060606
4-18,444444
19-18,060606
20-18,060606
21-18,060606
24-18,444444
26-18,060606
5-19,444444
18-19,060606
24-19,444444
27-19,060606
6-20,444444
17-20,060606
24-20,444444
28-20,060606
7-21,444444
16-21,060606
24-21,444444
28-21,060606
8-22,444444
15-22,060606
24-22,444444
28-22,060606
9-23,444444
14-23,060606
23-23,444444
28-23,060606
10-24,444444
13-24,060606
22-24,444444
28-24,060606
11-25,444444
12-25,060606
21-25,444444
28-25,060606
11-26,060606
12-26,444444
20-26,444444
28-26,060606
10-27,060606
13-27,444444
19-27,444444
28-27,060606
9-28,060606
14-28,444444
18-28,444444
28-28,060606
8-29,060606
15-29,444444
17-29,444444
28-29,060606
7-30,060606
16-30,444444
6-31,060606
15-31,444444
