led,color
10-0,#111111
11-0,#111111
12-0,#111111
13-0,#111111
14-0,#111111
15-0,#111111
16-0,#111111
17-0,#111111
18-0,#111111
19-0,#111111
21-0,#111111
4-1,#111111
9-1,#111111
20-1,#111111
21-1,#111111
33-1,#111111
4-2,#111111
8-2,#111111
12-2,#111111
13-2,#111111
14-2,#111111
15-2,#111111
16-2,#111111
17-2,#111111
18-2,#111111
19-2,#111111
20-2,#111111
21-2,#6E7A3F
22-2,#111111
23-2,#111111
24-2,#111111
25-2,#111111
26-2,#111111
27-2,#111111
28-2,#111111
29-2,#111111
30-2,#111111
31-2,#111111
32-2,#111111
53-2,#111111
5-3,#6E7A3F
6-3,#111111
7-3,#111111
11-3,#111111
20-3,#3D422A
21-3,#3D422A
22-3,#3D422A
32-3,#111111
52-3,#111111
5-4,#111111
10-4,#111111
19-4,#3D422A
21-4,#3D422A
23-4,#3D422A
24-4,#3D422A
25-4,#3D422A
26-4,#3D422A
32-4,#111111
51-4,#111111
60-4,#111111
5-5,#111111
9-5,#111111
18-5,#3D422A
21-5,#3D422A
27-5,#3D422A
32-5,#111111
50-5,#111111
60-5,#111111
6-6,#111111
8-6,#111111
17-6,#3D422A
21-6,#3D422A
28-6,#3D422A
30-6,#3D422A
31-6,#6E7A3F
49-6,#111111
60-6,#111111
7-7,#6E7A3F
16-7,#3D422A
21-7,#3D422A
28-7,#111111
29-7,#3D422A
31-7,#3D422A
32-7,#111111
48-7,#111111
60-7,#111111
61-7,#111111
8-8,#111111
15-8,#3D422A
21-8,#3D422A
27-8,#111111
30-8,#3D422A
33-8,#111111
47-8,#111111
59-8,#111111
9-9,#111111
10-9,#111111
11-9,#111111
14-9,#3D422A
21-9,#3D422A
26-9,#111111
31-9,#3D422A
34-9,#111111
35-9,#111111
36-9,#111111
37-9,#111111
38-9,#111111
39-9,#111111
40-9,#111111
47-9,#111111
58-9,#111111
12-10,#111111
13-10,#3D422A
21-10,#3D422A
26-10,#111111
32-10,#3D422A
34-10,#111111
41-10,#111111
47-10,#111111
48-10,#3D422A
49-10,#3D422A
50-10,#3D422A
51-10,#3D422A
52-10,#3D422A
53-10,#3D422A
54-10,#3D422A
55-10,#3D422A
56-10,#3D422A
57-10,#6E7A3F
58-10,#111111
59-10,#111111
60-10,#111111
61-10,#111111
62-10,#111111
4-11,#111111
12-11,#3D422A
21-11,#3D422A
26-11,#111111
33-11,#3D422A
34-11,#6E7A3F
35-11,#3D422A
36-11,#3D422A
37-11,#3D422A
38-11,#3D422A
39-11,#3D422A
40-11,#3D422A
41-11,#3D422A
42-11,#3D422A
43-11,#3D422A
44-11,#3D422A
45-11,#3D422A
46-11,#3D422A
47-11,#6E7A3F
57-11,#3D422A
58-11,#111111
5-12,#111111
12-12,#3D422A
21-12,#3D422A
26-12,#111111
34-12,#3D422A
47-12,#3D422A
48-12,#111111
49-12,#111111
50-12,#111111
51-12,#111111
52-12,#111111
53-12,#111111
54-12,#111111
55-12,#111111
56-12,#111111
57-12,#6E7A3F
59-12,#111111
6-13,#111111
7-13,#111111
8-13,#111111
9-13,#111111
12-13,#3D422A
22-13,#6E7A3F
26-13,#111111
34-13,#3D422A
47-13,#3D422A
57-13,#3D422A
59-13,#111111
10-14,#111111
12-14,#3D422A
14-14,#3D422A
15-14,#3D422A
16-14,#3D422A
17-14,#3D422A
18-14,#3D422A
19-14,#3D422A
22-14,#3D422A
23-14,#3D422A
25-14,#111111
35-14,#3D422A
46-14,#3D422A
57-14,#3D422A
59-14,#111111
5-15,#111111
6-15,#111111
11-15,#111111
12-15,#3D422A
13-15,#3D422A
20-15,#3D422A
22-15,#3D422A
24-15,#3D422A
36-15,#3D422A
45-15,#3D422A
56-15,#3D422A
59-15,#111111
7-16,#111111
8-16,#111111
9-16,#111111
10-16,#111111
11-16,#111111
12-16,#6E7A3F
21-16,#3D422A
22-16,#3D422A
23-16,#111111
25-16,#3D422A
37-16,#3D422A
44-16,#3D422A
54-16,#111111
55-16,#6E7A3F
60-16,#111111
6-17,#111111
11-17,#111111
13-17,#3D422A
22-17,#6E7A3F
23-17,#3D422A
24-17,#3D422A
25-17,#3D422A
26-17,#3D422A
27-17,#3D422A
28-17,#3D422A
29-17,#3D422A
30-17,#3D422A
31-17,#3D422A
32-17,#3D422A
33-17,#6E7A3F
34-17,#3D422A
35-17,#3D422A
36-17,#3D422A
37-17,#3D422A
38-17,#6E7A3F
39-17,#3D422A
40-17,#3D422A
41-17,#3D422A
42-17,#3D422A
43-17,#3D422A
53-17,#111111
55-17,#3D422A
61-17,#111111
1-18,#111111
2-18,#111111
3-18,#111111
4-18,#111111
5-18,#111111
10-18,#111111
14-18,#3D422A
21-18,#111111
23-18,#3D422A
33-18,#111111
39-18,#3D422A
42-18,#3D422A
52-18,#111111
54-18,#3D422A
9-19,#111111
15-19,#3D422A
17-19,#111111
18-19,#111111
19-19,#111111
20-19,#111111
24-19,#3D422A
34-19,#111111
40-19,#3D422A
42-19,#3D422A
52-19,#6E7A3F
53-19,#3D422A
2-20,#111111
3-20,#111111
4-20,#111111
5-20,#111111
6-20,#111111
7-20,#111111
8-20,#111111
16-20,#6E7A3F
25-20,#3D422A
35-20,#111111
41-20,#3D422A
42-20,#3D422A
48-20,#111111
51-20,#3D422A
1-21,#111111
15-21,#111111
17-21,#3D422A
24-21,#111111
26-21,#3D422A
36-21,#111111
37-21,#111111
38-21,#111111
39-21,#111111
40-21,#111111
41-21,#111111
42-21,#6E7A3F
43-21,#111111
44-21,#6E7A3F
45-21,#111111
46-21,#111111
47-21,#111111
49-21,#111111
50-21,#3D422A
1-22,#111111
14-22,#111111
18-22,#3D422A
23-22,#111111
27-22,#3D422A
41-22,#3D422A
42-22,#111111
43-22,#3D422A
