led,color
10-0,050505
11-0,050505
12-0,050505
13-0,050505
14-0,050505
15-0,050505
16-0,050505
17-0,050505
18-0,050505
21-0,151515
24-0,151515
25-0,151515
34-0,050505
57-0,151515
63-0,050505
4-1,151515
9-1,050505
19-1,050505
21-1,303030
23-1,151515
26-1,151515
27-1,151515
28-1,151515
29-1,151515
30-1,151515
31-1,151515
32-1,151515
33-1,151515
57-1,151515
63-1,050505
4-2,151515
8-2,050505
20-2,303030
21-2,303030
22-2,303030
23-2,303030
24-2,303030
31-2,151515
53-2,151515
54-2,151515
55-2,151515
56-2,151515
58-2,151515
63-2,050505
5-3,151515
6-3,050505
7-3,050505
14-3,151515
15-3,151515
16-3,151515
17-3,151515
18-3,151515
19-3,151515
21-3,303030
22-3,050505
25-3,303030
31-3,151515
52-3,151515
59-3,151515
61-3,050505
62-3,050505
63-3,050505
5-4,151515
13-4,151515
21-4,303030
23-4,050505
26-4,303030
31-4,151515
51-4,151515
60-4,151515
5-5,151515
12-5,151515
20-5,303030
21-5,303030
24-5,050505
27-5,303030
31-5,151515
50-5,151515
60-5,151515
6-6,151515
8-6,151515
9-6,151515
10-6,151515
11-6,151515
19-6,303030
21-6,303030
25-6,050505
28-6,303030
30-6,303030
31-6,303030
49-6,151515
60-6,151515
7-7,151515
18-7,303030
21-7,303030
25-7,050505
29-7,303030
31-7,303030
32-7,050505
35-7,050505
48-7,151515
60-7,151515
61-7,151515
62-7,151515
0-8,050505
1-8,050505
6-8,050505
8-8,151515
17-8,303030
18-8,050505
19-8,050505
20-8,050505
21-8,303030
22-8,050505
23-8,050505
24-8,050505
25-8,151515
26-8,151515
27-8,151515
28-8,151515
29-8,151515
30-8,303030
33-8,050505
35-8,050505
47-8,151515
59-8,151515
63-8,151515
2-9,050505
9-9,151515
16-9,303030
20-9,050505
21-9,303030
25-9,151515
31-9,303030
34-9,050505
35-9,050505
36-9,050505
47-9,151515
58-9,151515
63-9,151515
3-10,050505
10-10,151515
11-10,151515
12-10,151515
15-10,303030
19-10,050505
21-10,303030
25-10,151515
32-10,303030
34-10,050505
37-10,050505
38-10,050505
39-10,050505
47-10,151515
48-10,303030
49-10,303030
50-10,303030
51-10,303030
52-10,303030
53-10,303030
54-10,303030
55-10,303030
56-10,303030
57-10,303030
58-10,050505
59-10,050505
60-10,050505
61-10,050505
62-10,050505
63-10,151515
4-11,050505
13-11,151515
14-11,303030
18-11,050505
21-11,303030
25-11,151515
33-11,303030
34-11,050505
40-11,050505
44-11,303030
45-11,303030
46-11,303030
47-11,303030
57-11,303030
58-11,151515
63-11,050505
5-12,050505
13-12,303030
17-12,050505
21-12,303030
25-12,151515
34-12,303030
35-12,303030
36-12,303030
37-12,303030
38-12,303030
39-12,303030
40-12,303030
41-12,303030
42-12,303030
43-12,303030
47-12,303030
48-12,151515
49-12,151515
50-12,151515
51-12,151515
52-12,151515
53-12,151515
54-12,151515
55-12,151515
56-12,303030
59-12,151515
63-12,050505
6-13,050505
7-13,050505
8-13,050505
9-13,050505
12-13,303030
17-13,050505
22-13,303030
24-13,151515
34-13,303030
47-13,303030
49-13,050505
51-13,151515
55-13,303030
57-13,050505
58-13,050505
59-13,151515
60-13,050505
63-13,050505
10-14,050505
12-14,303030
15-14,303030
16-14,303030
17-14,303030
18-14,303030
19-14,303030
22-14,303030
23-14,151515
34-14,303030
46-14,303030
50-14,151515
55-14,303030
59-14,151515
61-14,050505
63-14,050505
5-15,151515
6-15,151515
11-15,050505
12-15,303030
14-15,303030
20-15,303030
22-15,303030
24-15,151515
34-15,303030
35-15,303030
36-15,303030
45-15,303030
49-15,151515
51-15,050505
55-15,303030
56-15,050505
57-15,050505
58-15,050505
59-15,151515
60-15,050505
63-15,050505
7-16,151515
8-16,151515
9-16,151515
12-16,303030
13-16,303030
21-16,303030
22-16,303030
25-16,303030
26-16,303030
27-16,303030
28-16,303030
29-16,303030
30-16,303030
34-16,050505
37-16,303030
44-16,303030
45-16,151515
46-16,151515
47-16,151515
48-16,151515
52-16,050505
55-16,303030
60-16,151515
63-16,050505
0-17,151515
1-17,151515
2-17,151515
3-17,151515
4-17,151515
5-17,151515
6-17,151515
10-17,151515
11-17,151515
14-17,303030
22-17,303030
23-17,303030
24-17,303030
31-17,303030
33-17,050505
35-17,303030
36-17,303030
37-17,303030
38-17,303030
39-17,303030
40-17,303030
41-17,303030
42-17,303030
43-17,303030
52-17,050505
54-17,303030
56-17,050505
61-17,151515
62-17,050505
9-18,050505
15-18,303030
21-18,151515
23-18,303030
30-18,050505
31-18,050505
32-18,303030
33-18,303030
34-18,303030
39-18,303030
42-18,303030
52-18,050505
53-18,303030
57-18,050505
58-18,050505
59-18,050505
60-18,050505
62-18,151515
63-18,050505
2-19,050505
3-19,050505
4-19,050505
5-19,050505
6-19,050505
7-19,050505
8-19,050505
15-19,303030
17-19,151515
18-19,151515
19-19,151515
20-19,151515
24-19,303030
29-19,050505
33-19,151515
40-19,303030
42-19,303030
52-19,303030
62-19,151515
63-19,050505
1-20,050505
16-20,303030
25-20,303030
29-20,050505
34-20,151515
41-20,303030
51-20,303030
53-20,050505
62-20,151515
63-20,050505
0-21,050505
2-21,050505
15-21,151515
17-21,303030
24-21,151515
26-21,303030
29-21,050505
35-21,151515
36-21,151515
37-21,151515
38-21,151515
39-21,151515
40-21,151515
41-21,303030
42-21,151515
43-21,151515
44-21,151515
45-21,151515
46-21,151515
47-21,151515
48-21,151515
49-21,151515
50-21,303030
51-21,050505
54-21,050505
55-21,050505
56-21,050505
57-21,050505
58-21,050505
59-21,050505
60-21,050505
62-21,151515
63-21,050505
0-22,050505
14-22,151515
18-22,303030
23-22,151515
27-22,303030
29-22,050505
41-22,303030
42-22,303030
43-22,303030
44-22,303030
45-22,303030
46-22,303030
47-22,303030
48-22,303030
49-22,303030
50-22,303030
61-22,050505
62-22,050505
63-22,151515
14-23,050505
19-23,303030
20-23,303030
21-23,303030
22-23,303030
23-23,303030
24-23,303030
28-23,303030
29-23,050505
40-23,303030
41-23,151515
42-23,151515
43-23,151515
44-23,151515
45-23,151515
46-23,151515
47-23,151515
51-23,303030
63-23,151515
14-24,050505
23-24,151515
25-24,303030
27-24,050505
28-24,050505
29-24,303030
39-24,303030
42-24,151515
47-24,151515
52-24,303030
53-24,303030
54-24,303030
55-24,303030
56-24,303030
57-24,303030
58-24,303030
63-24,151515
14-25,050505
23-25,151515
26-25,303030
27-25,303030
28-25,303030
29-25,303030
30-25,303030
38-25,303030
41-25,151515
47-25,151515
54-25,151515
59-25,303030
60-25,303030
61-25,303030
62-25,303030
12-26,050505
13-26,050505
14-26,050505
15-26,050505
16-26,050505
17-26,050505
18-26,050505
19-26,050505
20-26,050505
21-26,050505
22-26,050505
23-26,151515
24-26,050505
25-26,050505
27-26,151515
29-26,303030
31-26,303030
37-26,303030
40-26,151515
47-26,151515
54-26,151515
11-27,050505
23-27,151515
28-27,151515
29-27,303030
32-27,303030
36-27,303030
39-27,151515
47-27,151515
53-27,151515
55-27,050505
56-27,050505
57-27,050505
58-27,050505
59-27,050505
60-27,050505
61-27,050505
23-28,151515
29-28,151515
30-28,303030
33-28,303030
34-28,303030
35-28,303030
36-28,151515
37-28,151515
38-28,151515
48-28,151515
52-28,151515
62-28,050505
23-29,151515
28-29,151515
30-29,050505
31-29,303030
32-29,303030
35-29,151515
49-29,151515
51-29,151515
62-29,050505
23-30,151515
27-30,151515
30-30,050505
32-30,050505
35-30,151515
50-30,151515
