,trip_name,arrival,departure,animationcode
0,RE 1,0816,0817,
1,S 3,0816,0818,
2,RE 71,0819,0820,
3,S 2,0823,0825,
4,S 51,0857,0858,
5,S 5,0828,0829,
6,S 5,0857,0858,
7,S 6,0808,0809,
8,FLX 1240,0802,0807,
9,RE 71,0832,0833,
10,S 1,0853,0854,
11,S 3,0844,0848,
12,S 3,0812,0813,
13,RE 73,0853,0854,
14,RB 68,0842,0843,
15,RB 68,0807,0820,
16,S 5,0803,0804,
17,RE 73,0809,0810,
18,S 51,0830,0831,
19,RE 10a,0810,0811,
20,S 5,0830,0831,
21,ICE 711,0837,0839,
22,S 1,0802,0804,
23,IC 2049,0824,0826,
24,S 2,0832,0834,
25,RE 10a,0848,0849,
26,S 51,0828,0829,
27,RE 1,0801,0802,
28,S 3,0841,0843,
29,S 2,0932,0933,
30,IC 2040,0933,0935,
31,S 5,0927,0928,
32,IC 2374,0944,0946,
33,IC 2394,0944,0946,
34,S 1,0954,0955,
35,S 51,0930,0931,
36,S 3,0912,0913,
37,RE 73,0906,0907,
38,RE 10a,0911,0912,
39,RB 68,0939,0943,
40,S 3,0941,0943,
41,S 1,0902,0903,
42,RE 10a,0948,0949,
43,S 5,0957,0958,
44,S 5,0900,0901,
45,S 3,0945,0948,
46,RE 73,0949,0950,
47,S 51,0927,0928,
48,S 3,0916,0918,
49,S 2,0923,0925,
50,S 5,0930,0931,
51,RB 68,0916,0920,
52,RE 73,1009,1010,
53,S 3,1012,1013,
54,RE 73,1051,1052,
55,S 3,1041,1043,
56,RB 68,1016,1020,
57,S 3,1016,1018,
58,RE 10a,1009,1010,
59,S 2,1032,1033,
60,S 51,1030,1031,
61,S 5,1027,1028,
62,S 2,1023,1025,
63,S 51,1027,1028,
64,S 5,1000,1001,
65,IC 2047,1023,1025,
66,S 1,1055,1055,
67,ICE 1573,1013,1015,
68,S 5,1030,1031,
69,RE 71,1032,1033,
70,S 1,1002,1003,
71,RB 68,1039,1041,
72,RE 10a,1048,1049,
73,RE 71,1019,1020,
74,S 3,1045,1048,
75,S 5,1057,1058,
76,S 5,1100,1101,
77,S 3,1116,1118,
78,S 3,1141,1143,
79,RB 68,1116,1120,
80,S 3,1144,1148,
81,S 51,1127,1128,
82,RE 73,1151,1152,
83,S 51,1130,1131,
84,ICE 1578,1144,1146,
85,S 2,1132,1133,
86,RE 10a,1109,1110,
87,S 1,1102,1103,
88,S 5,1130,1131,
89,ICE 999,1109,1111,
90,RB 68,1139,1141,
