station_name,station_uic
Dagebüll Mole,8007769
Westerland(Sylt),8006369
Niebüll,8004343
Husum,8000181
Heide(Holst),8000155
Itzehoe,8003102
Elmshorn,8000092
Hamburg-Altona,8002553
Hamburg Dammtor,8002548
Hamburg Hbf,8002549
Hamburg-Harburg,8000147
Lüneburg,8000238
Uelzen,8000168
Celle,8000064
Hannover Hbf,8000152
Göttingen,8000128
Kassel-Wilhelmshöhe,8003200
Fulda,8000115
Hanau Hbf,8000150
Frankfurt(Main)Süd,8002041
Frankfurt(Main)Hbf,8000105
Frankfurt(M) Flughafen Fernbf,8070003
Mannheim Hbf,8000244
Vaihingen(Enz),8006053
Stuttgart Hbf,8000096
Esslingen(Neckar),8001920
Ulm Hbf,8000170
Augsburg Hbf,8000013
München-Pasing,8004158
München Ost,8000262
München Hbf,8000261
Ingolstadt Hbf,8000183
Nürnberg Hbf,8000284
Bamberg,8089478
Erfurt Hbf,8010101
Halle(Saale)Hbf,8070814
Bitterfeld,8010050
Berlin Südkreuz,8011113
Berlin Hbf (tief),8098160
Berlin Hbf,8011160
Berlin-Spandau,8010404
Stendal Hbf,8010334
Wolfsburg Hbf,8006552
Bielefeld Hbf,8000036
Hamm(Westf)Hbf,8000149
Dortmund Hbf,8000080
Essen Hbf,8000098
Duisburg Hbf,8000086
Düsseldorf Hbf,8000085
Köln Messe/Deutz,8003368
Köln Messe/Deutz Gl.11-12,8073368
Köln Hbf,8000207
Siegburg/Bonn,8005556
Montabaur,8000667
Limburg Süd,8003680
,
Bremen Hbf,8000050
Osnabrück Hbf,8000294
Münster(Westf)Hbf,8000263
Hagen Hbf,8000142
Wuppertal Hbf,8000266
,
Hamburg-Bergedorf,8002554
Büchen,8000058
Ludwigslust,8010216
Wittenberge,8010382
,
Aschaffenburg Hbf,8000010
Würzburg Hbf,8000260
,
Bruchsal,8000055
,
Eisenach Hbf,8010097
,
Braunschweig Hbf,8000049
,
Leipzig Hbf,8010205
