stretch_id,stretch_name,segment_number,lower_bound,upper_bound,out_of_map
8002553>8002548,Hamburg-Altona -> Hamburg Dammtor,0,0,100,
8002548>8002549,Hamburg Dammtor -> Hamburg Hbf,0,0,100,
8002549>8000147,Hamburg Hbf -> Hamburg-Harburg,0,0,50,
8002549>8000147,Hamburg Hbf -> Hamburg-Harburg,1,50,100,
8000147>8000238,Hamburg-Harburg -> Lüneburg,0,0,25,
8000147>8000238,Hamburg-Harburg -> Lüneburg,1,25,75,
8000147>8000238,Hamburg-Harburg -> Lüneburg,2,75,100,
8000238>8000168,Lüneburg -> Uelzen,0,0,25,
8000238>8000168,Lüneburg -> Uelzen,1,25,75,
8000238>8000168,Lüneburg -> Uelzen,2,75,100,
8000168>8000064,Uelzen -> Celle,0,0,16,
8000168>8000064,Uelzen -> Celle,1,16,50,
8000168>8000064,Uelzen -> Celle,2,50,83,
8000168>8000064,Uelzen -> Celle,3,83,100,
8000064>8000152,Celle -> Hannover Hbf,0,0,25,
8000064>8000152,Celle -> Hannover Hbf,1,25,75,
8000064>8000152,Celle -> Hannover Hbf,2,75,100,
8007769>8004343,Dagebüll Mole -> Niebüll,0,0,50,
8007769>8004343,Dagebüll Mole -> Niebüll,1,50,100,
8006369>8004343,Westerland(Sylt) -> Niebüll,0,0,25,
8006369>8004343,Westerland(Sylt) -> Niebüll,1,25,75,
8006369>8004343,Westerland(Sylt) -> Niebüll,2,75,100,
8004343>8000181,Niebüll -> Husum,0,0,16,
8004343>8000181,Niebüll -> Husum,1,16,50,
8004343>8000181,Niebüll -> Husum,2,50,83,
8004343>8000181,Niebüll -> Husum,3,83,100,
8000181>8000155,Husum -> Heide(Holst),0,0,25,
8000181>8000155,Husum -> Heide(Holst),1,25,75,
8000181>8000155,Husum -> Heide(Holst),2,75,100,
8000155>8003102,Heide(Holst) -> Itzehoe,0,0,25,
8000155>8003102,Heide(Holst) -> Itzehoe,1,25,75,
8000155>8003102,Heide(Holst) -> Itzehoe,2,75,100,
8003102>8000092,Itzehoe -> Elmshorn,0,0,25,
8003102>8000092,Itzehoe -> Elmshorn,1,25,75,
8003102>8000092,Itzehoe -> Elmshorn,2,75,100,
8000092>8002553,Elmshorn -> Hamburg-Altona,0,0,25,
8000092>8002553,Elmshorn -> Hamburg-Altona,1,25,75,
8000092>8002553,Elmshorn -> Hamburg-Altona,2,75,100,
8000092>8002548,Elmshorn -> Hamburg Dammtor,0,0,25,
8000092>8002548,Elmshorn -> Hamburg Dammtor,1,25,75,
8000092>8002548,Elmshorn -> Hamburg Dammtor,2,75,100,
8000152>8000128,Hannover Hbf -> Göttingen,0,0,7,
8000152>8000128,Hannover Hbf -> Göttingen,1,7,21,
8000152>8000128,Hannover Hbf -> Göttingen,2,21,35,
8000152>8000128,Hannover Hbf -> Göttingen,3,35,50,
8000152>8000128,Hannover Hbf -> Göttingen,4,50,64,
8000152>8000128,Hannover Hbf -> Göttingen,5,64,78,
8000152>8000128,Hannover Hbf -> Göttingen,6,78,92,
8000152>8000128,Hannover Hbf -> Göttingen,7,92,100,
8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe,0,0,16,
8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe,1,16,50,
8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe,2,50,83,
8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe,3,83,100,
