station_name_from,station_uic_from,station_name_to,station_uic_to,travel_cost,super_name,stretch_id,stretch_name
Dagebüll Mole,8007769,Niebüll,8004343,27,Niebüll - Dagebüll,8007769>8004343,Dagebüll Mole -> Niebüll
Westerland(Sylt),8006369,Niebüll,8004343,37,Marschbahn,8006369>8004343,Westerland(Sylt) -> Niebüll
Niebüll,8004343,Husum,8000181,24,Marschbahn,8004343>8000181,Niebüll -> Husum
Husum,8000181,Heide(Holst),8000155,23,Marschbahn,8000181>8000155,Husum -> Heide(Holst)
Heide(Holst),8000155,Itzehoe,8003102,35,Marschbahn,8000155>8003102,Heide(Holst) -> Itzehoe
Itzehoe,8003102,Elmshorn,8000092,22,Marschbahn,8003102>8000092,Itzehoe -> Elmshorn
Elmshorn,8000092,Hamburg-Altona,8002553,21,Hamburg - Kiel,8000092>8002553,Elmshorn -> Hamburg-Altona
Elmshorn,8000092,Hamburg Dammtor,8002548,22,Hamburg - Kiel,8000092>8002548,Elmshorn -> Hamburg Dammtor
Hamburg-Altona,8002553,Hamburg Dammtor,8002548,10,Hamburg Stadtverkehr,8002553>8002548,Hamburg-Altona -> Hamburg Dammtor
Hamburg Dammtor,8002548,Hamburg Hbf,8002549,4,Hamburg Stadtverkehr,8002548>8002549,Hamburg Dammtor -> Hamburg Hbf
Hamburg Hbf,8002549,Hamburg-Harburg,8000147,10,Hamburg Stadtverkehr,8002549>8000147,Hamburg Hbf -> Hamburg-Harburg
Hamburg-Harburg,8000147,Lüneburg,8000238,17,Hamburg Stadtverkehr,8000147>8000238,Hamburg-Harburg -> Lüneburg
Lüneburg,8000238,Uelzen,8000168,14,Hamburg - Hannover,8000238>8000168,Lüneburg -> Uelzen
Uelzen,8000168,Celle,8000064,21,Hamburg - Hannover,8000168>8000064,Uelzen -> Celle
Celle,8000064,Hannover Hbf,8000152,20,Hamburg - Hannover,8000064>8000152,Celle -> Hannover Hbf
Hannover Hbf,8000152,Göttingen,8000128,34,SFS Hannover - Würzburg,8000152>8000128,Hannover Hbf -> Göttingen
Göttingen,8000128,Kassel-Wilhelmshöhe,8003200,19,SFS Hannover - Würzburg,8000128>8003200,Göttingen -> Kassel-Wilhelmshöhe
Kassel-Wilhelmshöhe,8003200,Fulda,8000115,30,SFS Hannover - Würzburg,8003200>8000115,Kassel-Wilhelmshöhe -> Fulda
Fulda,8000115,Hanau Hbf,8000150,40,Frankfurt - Fulda,8000115>8000150,Fulda -> Hanau Hbf
Hanau Hbf,8000150,Frankfurt(Main)Süd,8002041,13,Frankfurt - Fulda,8000150>8002041,Hanau Hbf -> Frankfurt(Main)Süd
Frankfurt(Main)Süd,8002041,Frankfurt(Main)Hbf,8000105,11,Frankfurt Stadtverkehr,8002041>8000105,Frankfurt(Main)Süd -> Frankfurt(Main)Hbf
Frankfurt(Main)Hbf,8000105,Frankfurt(M) Flughafen Fernbf,8070003,12,Frankfurt Stadtverkehr,8000105>8070003,Frankfurt(Main)Hbf -> Frankfurt(M) Flughafen Fernbf
Frankfurt(M) Flughafen Fernbf,8070003,Frankfurt(Main)Süd,8002041,10,Frankfurt Stadtverkehr,8070003>8002041,Frankfurt(M) Flughafen Fernbf -> Frankfurt(Main)Süd
