trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-1037067514652734617,EN,346,Hamburg Hbf,2508222149,2508222203,25082221,8002549
-1151057268452720658,ICE,1205,Hamburg-Altona,2508221311,2508221311,25082213,8002553
-1151057268452720658,ICE,1205,Hamburg Dammtor,2508221319,2508221321,25082213,8002548
-1151057268452720658,ICE,1205,Hamburg Hbf,2508221325,2508221328,25082213,8002549
-1151057268452720658,ICE,1205,Hamburg-Harburg,2508221338,2508221339,25082213,8000147
-1151057268452720658,ICE,1205,Lüneburg,2508221357,2508221359,25082213,8000238
-1151057268452720658,ICE,1205,Uelzen,2508221413,2508221414,25082214,8000168
-1151057268452720658,ICE,1205,Hannover Hbf,2508221451,2508221454,25082214,8000152
-1154466046196233813,IC,2036,Hannover Hbf,2508221623,2508221645,25082216,8000152
-1181388105553700395,ICE,556,Hannover Hbf,2508221637,2508221640,25082216,8000152
-1261071308251314263,ICE,786,Hannover Hbf,2508221832,2508221836,25082218,8000152
-1261071308251314263,ICE,786,Hamburg-Harburg,2508221941,2508221943,25082219,8000147
-1261071308251314263,ICE,786,Hamburg Hbf,2508221954,2508221954,25082219,8002549
-130190603183544299,IC,241,Hannover Hbf,2508222001,2508222004,25082220,8000152
-1302275594339840200,ICE,576,Hannover Hbf,2508221717,2508221720,25082217,8000152
-1302275594339840200,ICE,576,Hamburg Hbf,2508221836,2508221836,25082218,8002549
-1309662995930200381,ICE,776,Hannover Hbf,2508221948,2508221951,25082219,8000152
-1360629902197387952,ICE,941,Hannover Hbf,2508221628,2508221631,25082216,8000152
-1399042432563079357,IC,2034,Hannover Hbf,2508221823,2508221845,25082218,8000152
-1482281716878876439,FLX,1236,Hannover Hbf,2508221820,2508221823,25082218,8000152
-157208555968192668,ICE,653,Hannover Hbf,2508221918,2508221922,25082219,8000152
-1588936129122896413,ICE,504,Uelzen,2508222128,2508222130,25082221,8000168
-1810961569118299205,ICE,76,Hannover Hbf,2508221417,2508221420,25082214,8000152
-1810961569118299205,ICE,76,Hamburg Hbf,2508221536,2508221536,25082215,8002549
-1814010400350286013,ICE,1578,Hannover Hbf,2508221556,2508221559,25082215,8000152
-1814010400350286013,ICE,1578,Celle,2508221617,2508221618,25082216,8000064
-1814010400350286013,ICE,1578,Uelzen,2508221640,2508221642,25082216,8000168
-1814010400350286013,ICE,1578,Lüneburg,2508221700,2508221702,25082217,8000238
-1814010400350286013,ICE,1578,Hamburg-Harburg,2508221719,2508221721,25082217,8000147
-1814010400350286013,ICE,1578,Hamburg Hbf,2508221732,2508221737,25082217,8002549
-1814010400350286013,ICE,1578,Hamburg-Altona,2508221747,2508221747,25082217,8002553
-1924004889193493117,EC,393,Hamburg Hbf,2508221301,2508221301,25082213,8002549
-2044723357159653206,NJ,491,Hamburg-Altona,2508221956,2508221956,25082219,8002553
-2044723357159653206,NJ,491,Hamburg Hbf,2508222007,2508222010,25082220,8002549
-2044723357159653206,NJ,491,Hamburg-Harburg,2508222021,2508222023,25082220,8000147
-2044723357159653206,NJ,491,Hannover Hbf,2508222150,2508222153,25082221,8000152
-2162136752730629646,ICE,740,Hannover Hbf,2508222153,2508222156,25082221,8000152
-223421926958290666,ICE,885,Hamburg Dammtor,2508221753,2508221754,25082217,8002548
-223421926958290666,ICE,885,Hamburg Hbf,2508221758,2508221801,25082217,8002549
-223421926958290666,ICE,885,Hamburg-Harburg,2508221810,2508221812,25082218,8000147
-223421926958290666,ICE,885,Hannover Hbf,2508221920,2508221926,25082219,8000152
-2289591885774835907,ICE,206,Hamburg-Harburg,2508221301,2508221303,25082213,8000147
-2289591885774835907,ICE,206,Hamburg Hbf,2508221314,2508221314,25082213,8002549
-2313669143793228483,ICE,586,Hannover Hbf,2508221732,2508221736,25082217,8000152
-2313669143793228483,ICE,586,Hamburg-Harburg,2508221841,2508221843,25082218,8000147
-2313669143793228483,ICE,586,Hamburg Hbf,2508221856,2508221856,25082218,8002549
-233471374335622563,IC,2045,Hannover Hbf,2508221820,2508221836,25082218,8000152
-2359216288191715036,ICE,1084,Hannover Hbf,2508221456,2508221459,25082214,8000152
-2359216288191715036,ICE,1084,Celle,2508221518,2508221519,25082215,8000064
-2359216288191715036,ICE,1084,Uelzen,2508221541,2508221543,25082215,8000168
-2359216288191715036,ICE,1084,Hamburg-Harburg,2508221616,2508221618,25082216,8000147
-2359216288191715036,ICE,1084,Hamburg Hbf,2508221628,2508221633,25082216,8002549
-2359216288191715036,ICE,1084,Hamburg Dammtor,2508221636,2508221638,25082216,8002548
