trip_id,category,number,position,statuscode
-1814010400350286013,ICE,1578,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'uelzen>celle', 'progress': 28, 'stretch_id': '8000168>8000064', 'travelling_reverse': True}",8000168>8000064_2
-2359216288191715036,ICE,1084,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-hbf>hamburg-harburg', 'progress': 62, 'stretch_id': '8002549>8000147', 'travelling_reverse': True}",8002549>8000147_0
-258190736644100419,ICE,1600,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-altona>hamburg-dammtor', 'progress': 89, 'stretch_id': '8002553>8002548', 'travelling_reverse': True}",8002553>8002548_0
-2843829057041584062,ICE,578,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-harburg>lüneburg', 'progress': 84, 'stretch_id': '8000147>8000238', 'travelling_reverse': True}",8000147>8000238_0
-3098613464310546950,ICE,588,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'lüneburg>uelzen', 'progress': 89, 'stretch_id': '8000238>8000168', 'travelling_reverse': True}",8000238>8000168_0
-4529047975829740909,ICE,771,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'celle>hannover-hbf', 'progress': 23, 'stretch_id': '8000064>8000152', 'travelling_reverse': False}",8000064>8000152_1
-4531120744728068355,ICE,1171,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-hbf>hamburg-harburg', 'progress': 3, 'stretch_id': '8002549>8000147', 'travelling_reverse': False}",8002549>8000147_0
-8639223983941365030,ICE,1085,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'uelzen>celle', 'progress': 46, 'stretch_id': '8000168>8000064', 'travelling_reverse': False}",8000168>8000064_1
-988583344704703688,ICE,883,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-harburg>lüneburg', 'progress': 76, 'stretch_id': '8000147>8000238', 'travelling_reverse': False}",8000147>8000238_1
2006650266683945588,ICE,681,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-harburg>lüneburg', 'progress': 437, 'stretch_id': '8000147>8000238', 'travelling_reverse': False}",
2677562958045670522,ICE,74,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'celle>hannover-hbf', 'progress': 23, 'stretch_id': '8000064>8000152', 'travelling_reverse': True}",8000064>8000152_4
3520459826486736427,ICE,1675,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-dammtor>hamburg-hbf', 'progress': 81, 'stretch_id': '8002548>8002549', 'travelling_reverse': False}",8002548>8002549_0
3657993984016871147,ICE,800,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'lüneburg>uelzen', 'progress': 48, 'stretch_id': '8000238>8000168', 'travelling_reverse': True}",8000238>8000168_1
5943675838823476295,ICE,1705,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'lüneburg>uelzen', 'progress': 62, 'stretch_id': '8000238>8000168', 'travelling_reverse': False}",8000238>8000168_1
6823598612451527303,ICE,1605,"{'stretch_super_name': 'Hamburg - Hannover', 'stretch_name': 'lüneburg>uelzen', 'progress': 62, 'stretch_id': '8000238>8000168', 'travelling_reverse': False}",8000238>8000168_1
8290912034684684315,ICE,803,"{'stretch_super_name': 'Hamburg Stadtverkehr', 'stretch_name': 'hamburg-altona>hamburg-dammtor', 'progress': 75, 'stretch_id': '8002553>8002548', 'travelling_reverse': False}",8002553>8002548_0
